Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
866662835,866667535,4700,0,4700,vecAdd,40504,40504,0,0,222,,:222,vecAdd
866667702,866671587,3885,0,3885,scale,40504,40504,0,0,223,,:223,scale
866671743,866675841,4098,0,4098,memcpy_kernel,40504,40504,0,0,224,,:224,memcpy_kernel
866676025,866679365,3340,0,3340,D2H_per_iter,40504,40504,0,0,225,,:225,D2H_per_iter
866679539,866685095,5556,0,5556,H2D_per_iter,40504,40504,0,0,226,,:226,H2D_per_iter
866685295,866689568,4273,0,4273,vecAdd,40504,40504,0,0,227,,:227,vecAdd
866689723,866693640,3917,0,3917,scale,40504,40504,0,0,228,,:228,scale
866693790,866697774,3984,0,3984,memcpy_kernel,40504,40504,0,0,229,,:229,memcpy_kernel
866697960,866701262,3302,0,3302,D2H_per_iter,40504,40504,0,0,230,,:230,D2H_per_iter
866701435,866707006,5571,0,5571,H2D_per_iter,40504,40504,0,0,231,,:231,H2D_per_iter
866707225,866711555,4330,0,4330,vecAdd,40504,40504,0,0,232,,:232,vecAdd
866711711,866715426,3715,0,3715,scale,40504,40504,0,0,233,,:233,scale
866715586,866720574,4988,0,4988,memcpy_kernel,40504,40504,0,0,234,,:234,memcpy_kernel
866720735,866724067,3332,0,3332,D2H_per_iter,40504,40504,0,0,235,,:235,D2H_per_iter
866724244,866729847,5603,0,5603,H2D_per_iter,40504,40504,0,0,236,,:236,H2D_per_iter
866730049,866734938,4889,0,4889,vecAdd,40504,40504,0,0,237,,:237,vecAdd
866735178,866739355,4177,0,4177,scale,40504,40504,0,0,238,,:238,scale
866739514,866743536,4022,0,4022,memcpy_kernel,40504,40504,0,0,239,,:239,memcpy_kernel
866743718,866747059,3341,0,3341,D2H_per_iter,40504,40504,0,0,240,,:240,D2H_per_iter
866747239,866752961,5722,0,5722,H2D_per_iter,40504,40504,0,0,241,,:241,H2D_per_iter
866753169,866758051,4882,0,4882,vecAdd,40504,40504,0,0,242,,:242,vecAdd
866758210,866762197,3987,0,3987,scale,40504,40504,0,0,243,,:243,scale
866762355,866766253,3898,0,3898,memcpy_kernel,40504,40504,0,0,244,,:244,memcpy_kernel
866766551,866769871,3320,0,3320,D2H_per_iter,40504,40504,0,0,245,,:245,D2H_per_iter
866770046,866776077,6031,0,6031,H2D_per_iter,40504,40504,0,0,246,,:246,H2D_per_iter
866776279,866780648,4369,0,4369,vecAdd,40504,40504,0,0,247,,:247,vecAdd
866780805,866784635,3830,0,3830,scale,40504,40504,0,0,248,,:248,scale
866784797,866789045,4248,0,4248,memcpy_kernel,40504,40504,0,0,249,,:249,memcpy_kernel
866789204,866792544,3340,0,3340,D2H_per_iter,40504,40504,0,0,250,,:250,D2H_per_iter
