Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
426.229,52,8.197,8.389,0.000,8.389,1.180,[CUDA memcpy Host-to-Device]
419.430,50,8.389,8.389,8.389,8.389,0.000,[CUDA memcpy Device-to-Host]
