Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
15.187,3,5.062,6.799,0.000,8.389,4.456,[CUDA memcpy Host-to-Device]
8.389,1,8.389,8.389,8.389,8.389,0.000,[CUDA memcpy Device-to-Host]
