Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
6710.886,100,67.109,67.109,67.109,67.109,0.000,[CUDA memcpy Host-to-Device]
3355.443,50,67.109,67.109,67.109,67.109,0.000,[CUDA memcpy Device-to-Host]
