Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
63.2,55043540,52,1058529.6,687394.5,512,20597361,2764327.9,[CUDA memcpy Host-to-Device]
36.8,32034228,50,640684.6,640195.0,639348,647283,1662.2,[CUDA memcpy Device-to-Host]
