Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
730617940,689746,234,,,,,,,,,,8.389,12155.093,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
731316774,68287,236,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
731386693,639636,237,,,,,,,,,,8.389,13111.394,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
732033080,686899,238,,,,,,,,,,8.389,12205.425,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
732729867,67423,240,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
732798057,640468,241,,,,,,,,,,8.389,13094.617,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
733445181,686643,242,,,,,,,,,,8.389,12213.813,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
734141935,66847,244,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
734217230,639924,245,,,,,,,,,,8.389,13103.006,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
734868482,685522,246,,,,,,,,,,8.389,12230.590,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
735558004,66303,248,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
735626995,639603,249,,,,,,,,,,8.389,13111.394,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
736277478,684691,250,,,,,,,,,,8.389,12247.368,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
736972217,66430,252,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
737041111,639508,253,,,,,,,,,,8.389,13111.394,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
737688555,694034,254,,,,,,,,,,8.389,12079.596,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
738388285,66367,256,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
738462428,639923,257,,,,,,,,,,8.389,13103.006,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
739109807,690195,258,,,,,,,,,,8.389,12146.704,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
739803746,67838,260,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
739876769,640051,261,,,,,,,,,,8.389,13103.006,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
740523924,686611,262,,,,,,,,,,8.389,12213.813,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
741217543,65118,264,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
741283749,639572,265,,,,,,,,,,8.389,13111.394,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
741938072,693971,266,,,,,,,,,,8.389,12079.596,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
742640971,66814,268,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
742709866,640819,269,,,,,,,,,,8.389,13086.228,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
743356253,690578,270,,,,,,,,,,8.389,12146.704,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
744053935,65727,272,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
744128334,639348,273,,,,,,,,,,8.389,13119.783,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
744774466,688082,274,,,,,,,,,,8.389,12188.647,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
745466356,69343,276,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
745540147,640915,277,,,,,,,,,,8.389,13086.228,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
746185926,688979,278,,,,,,,,,,8.389,12171.870,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
746885400,67135,280,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
746953559,640404,281,,,,,,,,,,8.389,13094.617,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
747602731,686258,282,,,,,,,,,,8.389,12222.202,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
748294269,67103,284,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
748368380,647283,285,,,,,,,,,,8.389,12952.011,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
749028111,686291,286,,,,,,,,,,8.389,12222.202,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
749722658,66814,288,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
749790688,641972,289,,,,,,,,,,8.389,13061.063,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
750439123,687635,290,,,,,,,,,,8.389,12197.036,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
751135910,67647,292,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
751205125,640083,293,,,,,,,,,,8.389,13103.006,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
751850168,691315,294,,,,,,,,,,8.389,12129.927,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
752551051,69278,296,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
752628393,641300,297,,,,,,,,,,8.389,13077.840,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
753274557,695538,298,,,,,,,,,,8.389,12054.430,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
