Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
134.218,2,67.109,67.109,67.109,67.109,0.000,[CUDA memcpy Host-to-Device]
67.109,1,67.109,67.109,67.109,67.109,0.000,[CUDA memcpy Device-to-Host]
