Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
707309983,707312882,2899,0,2899,H2D_per_iter,41104,41104,0,0,121,,:121,H2D_per_iter
707313130,707318411,5281,0,5281,cufftExecC2C_forward,41104,41104,0,0,122,,:122,cufftExecC2C_forward
707318596,707321905,3309,0,3309,D2H_per_iter,41104,41104,0,0,123,,:123,D2H_per_iter
707322218,707325095,2877,0,2877,H2D_per_iter,41104,41104,0,0,124,,:124,H2D_per_iter
707325267,707330041,4774,0,4774,cufftExecC2C_forward,41104,41104,0,0,125,,:125,cufftExecC2C_forward
707330203,707333381,3178,0,3178,D2H_per_iter,41104,41104,0,0,126,,:126,D2H_per_iter
707333594,707336496,2902,0,2902,H2D_per_iter,41104,41104,0,0,127,,:127,H2D_per_iter
707336667,707341629,4962,0,4962,cufftExecC2C_forward,41104,41104,0,0,128,,:128,cufftExecC2C_forward
707341795,707356229,14434,0,14434,D2H_per_iter,41104,41104,0,0,129,,:129,D2H_per_iter
707356720,707364663,7943,0,7943,H2D_per_iter,41104,41104,0,0,130,,:130,H2D_per_iter
707365229,707375018,9789,0,9789,cufftExecC2C_forward,41104,41104,0,0,131,,:131,cufftExecC2C_forward
707375307,707380885,5578,0,5578,D2H_per_iter,41104,41104,0,0,132,,:132,D2H_per_iter
707381199,707386054,4855,0,4855,H2D_per_iter,41104,41104,0,0,133,,:133,H2D_per_iter
707386324,707394196,7872,0,7872,cufftExecC2C_forward,41104,41104,0,0,134,,:134,cufftExecC2C_forward
707394469,707399524,5055,0,5055,D2H_per_iter,41104,41104,0,0,135,,:135,D2H_per_iter
707399814,707404563,4749,0,4749,H2D_per_iter,41104,41104,0,0,136,,:136,H2D_per_iter
707404848,707412188,7340,0,7340,cufftExecC2C_forward,41104,41104,0,0,137,,:137,cufftExecC2C_forward
707412467,707417362,4895,0,4895,D2H_per_iter,41104,41104,0,0,138,,:138,D2H_per_iter
707417781,707422733,4952,0,4952,H2D_per_iter,41104,41104,0,0,139,,:139,H2D_per_iter
707426631,707433230,6599,0,6599,cufftExecC2C_forward,41104,41104,0,0,140,,:140,cufftExecC2C_forward
707433422,707437007,3585,0,3585,D2H_per_iter,41104,41104,0,0,141,,:141,D2H_per_iter
707437192,707440138,2946,0,2946,H2D_per_iter,41104,41104,0,0,142,,:142,H2D_per_iter
707440344,707445832,5488,0,5488,cufftExecC2C_forward,41104,41104,0,0,143,,:143,cufftExecC2C_forward
707446000,707449184,3184,0,3184,D2H_per_iter,41104,41104,0,0,144,,:144,D2H_per_iter
707449466,707452497,3031,0,3031,H2D_per_iter,41104,41104,0,0,145,,:145,H2D_per_iter
707452743,707457984,5241,0,5241,cufftExecC2C_forward,41104,41104,0,0,146,,:146,cufftExecC2C_forward
707458154,707461444,3290,0,3290,D2H_per_iter,41104,41104,0,0,147,,:147,D2H_per_iter
707461657,707464623,2966,0,2966,H2D_per_iter,41104,41104,0,0,148,,:148,H2D_per_iter
707464792,707469718,4926,0,4926,cufftExecC2C_forward,41104,41104,0,0,149,,:149,cufftExecC2C_forward
707469892,707473560,3668,0,3668,D2H_per_iter,41104,41104,0,0,150,,:150,D2H_per_iter
