Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
850248879,850253017,4138,0,4138,memcpy_kernel,40898,40898,0,0,109,,:109,memcpy_kernel
850253185,850257244,4059,0,4059,vecAdd,40898,40898,0,0,110,,:110,vecAdd
850257564,850261737,4173,0,4173,scale,40898,40898,0,0,111,,:111,scale
850261974,850266162,4188,0,4188,memcpy_kernel,40898,40898,0,0,112,,:112,memcpy_kernel
850266354,850270076,3722,0,3722,vecAdd,40898,40898,0,0,113,,:113,vecAdd
850270223,850273724,3501,0,3501,scale,40898,40898,0,0,114,,:114,scale
850273896,850277507,3611,0,3611,memcpy_kernel,40898,40898,0,0,115,,:115,memcpy_kernel
850277679,850284577,6898,0,6898,vecAdd,40898,40898,0,0,116,,:116,vecAdd
850284771,850288967,4196,0,4196,scale,40898,40898,0,0,117,,:117,scale
850289146,850293385,4239,0,4239,memcpy_kernel,40898,40898,0,0,118,,:118,memcpy_kernel
850293742,850297957,4215,0,4215,vecAdd,40898,40898,0,0,119,,:119,vecAdd
850298225,850302144,3919,0,3919,scale,40898,40898,0,0,120,,:120,scale
850302287,850306466,4179,0,4179,memcpy_kernel,40898,40898,0,0,121,,:121,memcpy_kernel
850306666,850310419,3753,0,3753,vecAdd,40898,40898,0,0,122,,:122,vecAdd
850310577,850314434,3857,0,3857,scale,40898,40898,0,0,123,,:123,scale
850314611,850318431,3820,0,3820,memcpy_kernel,40898,40898,0,0,124,,:124,memcpy_kernel
850318597,850322894,4297,0,4297,vecAdd,40898,40898,0,0,125,,:125,vecAdd
850323068,850327015,3947,0,3947,scale,40898,40898,0,0,126,,:126,scale
850327160,850330644,3484,0,3484,memcpy_kernel,40898,40898,0,0,127,,:127,memcpy_kernel
850330843,850334175,3332,0,3332,vecAdd,40898,40898,0,0,128,,:128,vecAdd
850334320,850338219,3899,0,3899,scale,40898,40898,0,0,129,,:129,scale
850338394,850341917,3523,0,3523,memcpy_kernel,40898,40898,0,0,130,,:130,memcpy_kernel
850342087,850345823,3736,0,3736,vecAdd,40898,40898,0,0,131,,:131,vecAdd
850345999,850349731,3732,0,3732,scale,40898,40898,0,0,132,,:132,scale
850349874,850353844,3970,0,3970,memcpy_kernel,40898,40898,0,0,133,,:133,memcpy_kernel
850354034,850358577,4543,0,4543,vecAdd,40898,40898,0,0,134,,:134,vecAdd
850358821,850362754,3933,0,3933,scale,40898,40898,0,0,135,,:135,scale
850362932,850366724,3792,0,3792,memcpy_kernel,40898,40898,0,0,136,,:136,memcpy_kernel
850366891,850370841,3950,0,3950,vecAdd,40898,40898,0,0,137,,:137,vecAdd
850371016,850375035,4019,0,4019,scale,40898,40898,0,0,138,,:138,scale
850375179,850378996,3817,0,3817,memcpy_kernel,40898,40898,0,0,139,,:139,memcpy_kernel
850379192,850382821,3629,0,3629,vecAdd,40898,40898,0,0,140,,:140,vecAdd
850382964,850386699,3735,0,3735,scale,40898,40898,0,0,141,,:141,scale
850387070,850391385,4315,0,4315,memcpy_kernel,40898,40898,0,0,142,,:142,memcpy_kernel
850391553,850395220,3667,0,3667,vecAdd,40898,40898,0,0,143,,:143,vecAdd
850395397,850398942,3545,0,3545,scale,40898,40898,0,0,144,,:144,scale
850399086,850402547,3461,0,3461,memcpy_kernel,40898,40898,0,0,145,,:145,memcpy_kernel
850402741,850406497,3756,0,3756,vecAdd,40898,40898,0,0,146,,:146,vecAdd
850406649,850410257,3608,0,3608,scale,40898,40898,0,0,147,,:147,scale
850410432,850414525,4093,0,4093,memcpy_kernel,40898,40898,0,0,148,,:148,memcpy_kernel
850414709,850418584,3875,0,3875,vecAdd,40898,40898,0,0,149,,:149,vecAdd
850418960,850422985,4025,0,4025,scale,40898,40898,0,0,150,,:150,scale
850423256,850427320,4064,0,4064,memcpy_kernel,40898,40898,0,0,151,,:151,memcpy_kernel
850427572,850439348,11776,0,11776,D2H_once,40898,40898,0,0,152,,:152,D2H_once
