Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
94.7,17141384,50,342827.7,4600.5,4007,16903503,2389830.1,PushPop,vecAdd
1.8,329724,50,6594.5,5718.5,5556,42052,5173.9,PushPop,H2D_per_iter
1.2,225940,50,4518.8,4088.5,3530,23676,2785.8,PushPop,scale
1.2,219669,50,4393.4,4118.0,3680,16180,1731.5,PushPop,memcpy_kernel
1.0,184586,50,3691.7,3344.5,3282,14966,1662.0,PushPop,D2H_per_iter
